Subject,Grade,Strand,SubStrand,ItemType,ItemText
Christian Religious Education,PP1,Myself,Myself,LearningOutcome,identify their body parts
Christian Religious Education,PP1,Myself,Myself,LearningOutcome,appreciate themselves as wonderfully made by God
Christian Religious Education,PP1,Myself,Myself,KeyInquiryQuestion,How are we wonderfully made?
Christian Religious Education,PP1,Myself,My Family,LearningOutcome,identify members of a family
Christian Religious Education,PP1,Myself,My Family,LearningOutcome,show love for their family members
Christian Religious Education,PP1,Myself,My Family,KeyInquiryQuestion,Who are the members of our family?
Christian Religious Education,PP1,The Bible,God's Book,LearningOutcome,identify the Bible as God's book
Christian Religious Education,PP1,The Bible,God's Book,LearningOutcome,handle the Bible with care
Christian Religious Education,PP1,The Bible,God's Book,KeyInquiryQuestion,Why should we handle the Bible with care?
Christian Religious Education,PP1,The Church,The Church,LearningOutcome,identify the church as God's house
Christian Religious Education,PP1,The Church,The Church,LearningOutcome,recite memory verses
Christian Religious Education,PP1,The Church,The Church,LearningOutcome,enjoy going to church
Christian Religious Education,PP1,The Church,The Church,KeyInquiryQuestion,What do we do in church?
Christian Religious Education,PP1,Jesus Christ,The Birth of Jesus,LearningOutcome,talk about the birth of Jesus
Christian Religious Education,PP1,Jesus Christ,The Birth of Jesus,LearningOutcome,sing songs about the birth of Jesus
Christian Religious Education,PP1,Jesus Christ,The Birth of Jesus,KeyInquiryQuestion,What do we learn from the birth of Jesus?
Christian Religious Education,PP1,Christian values,Sharing,LearningOutcome,identify things they can share
Christian Religious Education,PP1,Christian values,Sharing,LearningOutcome,share things with others
Christian Religious Education,PP1,Christian values,Sharing,KeyInquiryQuestion,Why should we share with others?
Christian Religious Education,PP1,Christian values,Obedience,LearningOutcome,obey simple instructions
Christian Religious Education,PP1,Christian values,Obedience,LearningOutcome,recite memory verses about obedience
Christian Religious Education,PP1,Christian values,Obedience,KeyInquiryQuestion,Why should we obey?
Creative Arts,PP1,Music,Performing,LearningOutcome,sing familiar songs
Creative Arts,PP1,Music,Performing,LearningOutcome,recite familiar rhymes and singing games
Creative Arts,PP1,Music,Performing,LearningOutcome,play musical instruments
Creative Arts,PP1,Music,Performing,LearningOutcome,enjoy performing music
Creative Arts,PP1,Music,Performing,KeyInquiryQuestion,How do we perform music?
Creative Arts,PP1,Music,Creating,LearningOutcome,improvise simple rhythms
Creative Arts,PP1,Music,Creating,LearningOutcome,improvise melodies
Creative Arts,PP1,Music,Creating,LearningOutcome,improvise musical instruments
Creative Arts,PP1,Music,Creating,LearningOutcome,enjoy creating music
Creative Arts,PP1,Music,Creating,KeyInquiryQuestion,How can we create music?
Creative Arts,PP1,Art,Drawing,LearningOutcome,scribble and draw
Creative Arts,PP1,Art,Drawing,LearningOutcome,draw from observation
Creative Arts,PP1,Art,Drawing,LearningOutcome,draw from imagination
Creative Arts,PP1,Art,Drawing,LearningOutcome,enjoy drawing
Creative Arts,PP1,Art,Drawing,KeyInquiryQuestion,What can we draw?
Creative Arts,PP1,Art,Colouring,LearningOutcome,colour pictures
Creative Arts,PP1,Art,Colouring,LearningOutcome,enjoy colouring
Creative Arts,PP1,Art,Colouring,KeyInquiryQuestion,How do we colour?
Creative Arts,PP1,Craft,Tearing,LearningOutcome,tear paper into pieces
Creative Arts,PP1,Craft,Tearing,LearningOutcome,paste torn paper to create a picture
Creative Arts,PP1,Craft,Tearing,LearningOutcome,enjoy tearing and pasting
Creative Arts,PP1,Craft,Tearing,KeyInquiryQuestion,What can we make by tearing and pasting?
Creative Arts,PP1,Craft,Modelling,LearningOutcome,model items from dough/clay
Creative Arts,PP1,Craft,Modelling,LearningOutcome,enjoy modelling
Creative Arts,PP1,Craft,Modelling,KeyInquiryQuestion,What can we make by modelling?
Environmental Activities,PP1,Social Environment,Myself,LearningOutcome,identify themselves by name
Environmental Activities,PP1,Social Environment,Myself,LearningOutcome,talk about themselves
Environmental Activities,PP1,Social Environment,Myself,LearningOutcome,appreciate themselves
Environmental Activities,PP1,Social Environment,Myself,KeyInquiryQuestion,Who am I?
Environmental Activities,PP1,Social Environment,My family,LearningOutcome,identify members of their family
Environmental Activities,PP1,Social Environment,My family,LearningOutcome,talk about members of their family
Environmental Activities,PP1,Social Environment,My family,LearningOutcome,appreciate their family members
Environmental Activities,PP1,Social Environment,My family,KeyInquiryQuestion,Who are the members of our family?
Environmental Activities,PP1,Social Environment,Our School,LearningOutcome,identify the name of their school
Environmental Activities,PP1,Social Environment,Our School,LearningOutcome,talk about their school
Environmental Activities,PP1,Social Environment,Our School,LearningOutcome,appreciate their school
Environmental Activities,PP1,Social Environment,Our School,KeyInquiryQuestion,What is the name of our school?
Environmental Activities,PP1,Health Practices,Hand washing,LearningOutcome,identify when to wash hands
Environmental Activities,PP1,Health Practices,Hand washing,LearningOutcome,wash their hands properly
Environmental Activities,PP1,Health Practices,Hand washing,LearningOutcome,appreciate the importance of washing hands
Environmental Activities,PP1,Health Practices,Hand washing,KeyInquiryQuestion,Why do we wash our hands?
Environmental Activities,PP1,Health Practices,Care for the mouth,LearningOutcome,identify materials used for cleaning the mouth
Environmental Activities,PP1,Health Practices,Care for the mouth,LearningOutcome,brush their teeth properly
Environmental Activities,PP1,Health Practices,Care for the mouth,LearningOutcome,appreciate the importance of brushing teeth
Environmental Activities,PP1,Health Practices,Care for the mouth,KeyInquiryQuestion,How do we care for our mouth?
Environmental Activities,PP1,Health Practices,Care for the nose,LearningOutcome,identify materials used for cleaning the nose
Environmental Activities,PP1,Health Practices,Care for the nose,LearningOutcome,clean their nose properly
